SaleDate,ProductID,ProductCategory,SalesQuantity,SalesAmount,StoreLocation
2023-01-01,1102,Topicals,16,153.6843820650805,Denver
2023-01-02,1435,Concentrates,44,62.42637661051195,Colorado Springs
2023-01-03,1860,Vape,40,181.94275723228367,Colorado Springs
2023-01-04,1270,Concentrates,26,165.39162604881818,Colorado Springs
2023-01-05,1106,Concentrates,16,75.79054789160222,Boulder
2023-01-06,1071,Flower,28,163.47046570813575,Boulder
2023-01-07,1700,Vape,1,77.7141948669818,Colorado Springs
2023-01-08,1020,Vape,36,29.18005951084772,Boulder
2023-01-09,1614,Concentrates,10,192.7587653578845,Fort Collins
2023-01-10,1121,Topicals,43,133.9943828909336,Colorado Springs
2023-01-11,1466,Flower,17,96.65891006589241,Colorado Springs
2023-01-12,1214,Concentrates,23,85.57693679089753,Boulder
2023-01-13,1330,Edibles,7,71.69401350907015,Denver
2023-01-14,1458,Edibles,44,196.47504313153456,Colorado Springs
2023-01-15,1087,Flower,7,35.601980374872404,Boulder
2023-01-16,1372,Topicals,44,69.81296119490798,Boulder
2023-01-17,1099,Concentrates,15,102.24455165370607,Denver
2023-01-18,1871,Vape,34,100.81991356031916,Colorado Springs
2023-01-19,1663,Flower,46,99.55963203749026,Denver
2023-01-20,1130,Topicals,45,43.39892500777255,Fort Collins
2023-01-21,1661,Vape,4,37.537180150805106,Denver
2023-01-22,1308,Edibles,14,58.405841402437815,Denver
2023-01-23,1769,Edibles,14,183.75996922239065,Boulder
2023-01-24,1343,Vape,16,31.480063888556924,Denver
2023-01-25,1491,Flower,7,153.9107696409317,Fort Collins
2023-01-26,1413,Edibles,32,153.93419469534055,Boulder
2023-01-27,1805,Concentrates,19,163.85637674047985,Fort Collins
2023-01-28,1385,Vape,2,178.45694290797755,Denver
2023-01-29,1191,Vape,10,59.976873732396754,Fort Collins
2023-01-30,1955,Edibles,17,52.66629916109031,Fort Collins
2023-01-31,1276,Flower,37,98.44607664022115,Denver
2023-02-01,1160,Concentrates,12,60.366942062886864,Denver
2023-02-02,1459,Flower,6,149.51889790679041,Boulder
2023-02-03,1313,Topicals,22,130.8285195808724,Boulder
2023-02-04,1021,Topicals,32,176.2476607300038,Colorado Springs
2023-02-05,1252,Edibles,41,25.720277662543594,Boulder
2023-02-06,1747,Edibles,20,183.8658333380342,Denver
2023-02-07,1856,Edibles,1,65.73623906731702,Fort Collins
2023-02-08,1560,Topicals,47,103.23192572612696,Fort Collins
2023-02-09,1474,Flower,6,93.3361728285323,Boulder
2023-02-10,1058,Flower,19,154.45921370984053,Boulder
2023-02-11,1510,Edibles,18,89.86332879205008,Denver
2023-02-12,1681,Concentrates,6,189.2750976733878,Fort Collins
2023-02-13,1475,Flower,45,181.48143770132936,Colorado Springs
2023-02-14,1699,Topicals,33,175.71061887420623,Colorado Springs
2023-02-15,1975,Vape,23,23.5390832031633,Boulder
2023-02-16,1782,Vape,23,172.3090316952485,Colorado Springs
2023-02-17,1189,Vape,26,158.51073463421,Denver
2023-02-18,1957,Concentrates,13,29.667459931164892,Colorado Springs
2023-02-19,1686,Edibles,7,30.408721832882154,Boulder
2023-02-20,1957,Topicals,15,29.221124188332823,Denver
2023-02-21,1562,Concentrates,44,12.153192708852632,Fort Collins
2023-02-22,1875,Topicals,27,114.24051798697087,Denver
2023-02-23,1566,Topicals,26,194.94491537284821,Boulder
2023-02-24,1243,Edibles,33,93.35009355096078,Boulder
2023-02-25,1831,Vape,15,112.7439253585977,Colorado Springs
2023-02-26,1504,Edibles,36,193.91426138629154,Colorado Springs
2023-02-27,1130,Concentrates,45,58.48462346710383,Fort Collins
2023-02-28,1484,Concentrates,27,173.10934799366996,Fort Collins
2023-03-01,1818,Concentrates,5,113.81418877022986,Boulder
2023-03-02,1646,Edibles,2,118.20053778597205,Boulder
2023-03-03,1020,Topicals,33,75.20303286938388,Boulder
2023-03-04,1840,Topicals,16,116.70102858371254,Fort Collins
2023-03-05,1166,Flower,23,23.897076800873947,Boulder
2023-03-06,1273,Concentrates,38,155.2822787966813,Fort Collins
2023-03-07,1387,Topicals,16,64.09067469341161,Boulder
2023-03-08,1600,Flower,14,178.64558260385144,Denver
2023-03-09,1315,Topicals,29,79.89163197541711,Denver
2023-03-10,1013,Concentrates,26,37.13658099250769,Boulder
2023-03-11,1241,Vape,35,142.21749913001216,Denver
2023-03-12,1776,Concentrates,15,41.26984749556554,Fort Collins
2023-03-13,1345,Edibles,3,153.19929795316818,Colorado Springs
2023-03-14,1564,Topicals,23,193.94132491716215,Denver
2023-03-15,1897,Topicals,29,158.11504507109973,Colorado Springs
2023-03-16,1339,Edibles,34,14.265357201951687,Denver
2023-03-17,1091,Edibles,33,123.97829973002719,Fort Collins
2023-03-18,1366,Vape,41,142.1280274842476,Denver
2023-03-19,1955,Topicals,41,166.8370819012942,Denver
2023-03-20,1454,Topicals,23,20.64043869841003,Boulder
2023-03-21,1427,Vape,7,101.2204873109344,Colorado Springs
2023-03-22,1508,Flower,3,111.72046580129492,Colorado Springs
2023-03-23,1775,Vape,32,42.133723902393825,Fort Collins
2023-03-24,1942,Concentrates,31,71.26546384502342,Fort Collins
2023-03-25,1034,Topicals,18,93.64212798867139,Colorado Springs
2023-03-26,1205,Edibles,43,168.30984071198228,Boulder
2023-03-27,1080,Concentrates,7,186.58743755333933,Boulder
2023-03-28,1931,Topicals,41,129.40033749435784,Colorado Springs
2023-03-29,1561,Vape,1,85.0395853440778,Denver
2023-03-30,1871,Concentrates,14,58.26589338180733,Colorado Springs
2023-03-31,1387,Topicals,32,196.60568504286857,Denver
2023-04-01,1001,Flower,6,196.7737996345081,Colorado Springs
2023-04-02,1389,Flower,39,185.7456201646566,Denver
2023-04-03,1565,Edibles,10,159.27713847678564,Boulder
2023-04-04,1105,Topicals,7,71.89811331166746,Colorado Springs
2023-04-05,1771,Flower,26,165.23009186454982,Fort Collins
2023-04-06,1821,Vape,34,87.67067328152278,Denver
2023-04-07,1476,Topicals,30,72.08688864945859,Boulder
2023-04-08,1702,Vape,36,151.52441810859312,Fort Collins
2023-04-09,1401,Vape,21,25.13424624788035,Boulder
2023-04-10,1729,Flower,17,19.22691742617572,Denver
2023-04-11,1555,Topicals,33,95.11120246442526,Colorado Springs
2023-04-12,1161,Concentrates,10,94.67137215621077,Boulder
2023-04-13,1201,Flower,47,180.17238908212863,Colorado Springs
2023-04-14,1957,Flower,42,33.96908829468519,Colorado Springs
2023-04-15,1995,Topicals,12,33.42394621595843,Boulder
2023-04-16,1269,Topicals,16,38.01599409023122,Boulder
2023-04-17,1862,Vape,41,15.649889645974495,Boulder
2023-04-18,1815,Topicals,32,23.629030184832594,Colorado Springs
2023-04-19,1270,Vape,15,135.3752746975174,Fort Collins
2023-04-20,1455,Flower,27,92.00102253232674,Denver
2023-04-21,1461,Edibles,28,155.0845827467226,Fort Collins
2023-04-22,1726,Concentrates,17,198.59356653051543,Colorado Springs
2023-04-23,1251,Flower,46,135.21658940881025,Boulder
2023-04-24,1701,Topicals,2,19.58655841782351,Boulder
2023-04-25,1295,Concentrates,36,29.866944303324885,Denver
2023-04-26,1724,Edibles,7,177.39077611479448,Denver
2023-04-27,1719,Edibles,13,110.22422946606969,Fort Collins
2023-04-28,1748,Vape,15,166.7190602851906,Fort Collins
2023-04-29,1337,Concentrates,25,172.75634388273596,Denver
2023-04-30,1878,Vape,23,186.25816288490864,Colorado Springs
2023-05-01,1052,Flower,22,190.4675490424095,Fort Collins
2023-05-02,1791,Concentrates,26,115.41690133562818,Boulder
2023-05-03,1921,Flower,33,74.79383272864644,Boulder
2023-05-04,1216,Vape,11,192.75432612611974,Colorado Springs
2023-05-05,1763,Concentrates,10,114.0072171402328,Denver
2023-05-06,1187,Vape,25,22.208017361376097,Fort Collins
2023-05-07,1379,Concentrates,37,132.12754451137437,Boulder
2023-05-08,1492,Vape,48,121.66010257505205,Denver
2023-05-09,1040,Edibles,43,180.20064584999415,Fort Collins
2023-05-10,1156,Vape,38,134.1055659399844,Colorado Springs
2023-05-11,1014,Edibles,41,76.31996064769476,Boulder
2023-05-12,1812,Vape,45,193.58288788410587,Colorado Springs
2023-05-13,1064,Concentrates,24,162.30770233658637,Colorado Springs
2023-05-14,1856,Concentrates,40,129.77934749245733,Colorado Springs
2023-05-15,1838,Concentrates,46,65.65578864659335,Fort Collins
2023-05-16,1520,Topicals,33,80.97265629971615,Colorado Springs
2023-05-17,1343,Flower,17,137.29428557836476,Fort Collins
2023-05-18,1128,Concentrates,24,23.676355508031126,Fort Collins
2023-05-19,1647,Edibles,37,58.76931241355006,Colorado Springs
2023-05-20,1471,Concentrates,2,145.6411773453536,Colorado Springs
2023-05-21,1062,Topicals,32,101.20351687047797,Denver
2023-05-22,1138,Edibles,24,86.45477731474172,Boulder
2023-05-23,1498,Topicals,9,38.776948256078754,Denver
2023-05-24,1592,Edibles,4,93.95131655076919,Boulder
2023-05-25,1391,Vape,17,156.43147444444443,Boulder
2023-05-26,1674,Flower,17,60.16244075365967,Denver
2023-05-27,1418,Flower,48,11.025723014898709,Denver
2023-05-28,1288,Topicals,30,137.01593121868672,Boulder
2023-05-29,1378,Flower,40,194.79905484218497,Boulder
2023-05-30,1772,Topicals,11,125.29704708183075,Boulder
2023-05-31,1489,Topicals,21,32.785153196154724,Fort Collins
2023-06-01,1230,Topicals,21,70.93928754548787,Boulder
2023-06-02,1040,Flower,18,174.85190679684246,Colorado Springs
2023-06-03,1027,Topicals,29,54.18793410879743,Colorado Springs
2023-06-04,1134,Flower,24,125.46222166454552,Colorado Springs
2023-06-05,1200,Topicals,10,86.50752956825959,Denver
2023-06-06,1839,Concentrates,45,49.49030706973331,Denver
2023-06-07,1779,Topicals,17,164.54730977728914,Denver
2023-06-08,1929,Edibles,18,151.13794252848115,Boulder
2023-06-09,1032,Topicals,42,135.70230253226043,Colorado Springs
2023-06-10,1047,Vape,48,54.903952151062725,Boulder
2023-06-11,1502,Topicals,20,28.592830516125506,Fort Collins
2023-06-12,1406,Edibles,37,119.47027266693357,Fort Collins
2023-06-13,1573,Edibles,45,115.19878837249233,Denver
2023-06-14,1727,Flower,18,45.79315177362587,Fort Collins
2023-06-15,1804,Concentrates,17,20.686871919882773,Colorado Springs
2023-06-16,1098,Topicals,9,25.334606296857338,Fort Collins
2023-06-17,1683,Flower,14,198.62648743741943,Denver
2023-06-18,1871,Concentrates,49,158.8809400011479,Boulder
2023-06-19,1725,Topicals,29,185.1776204333828,Fort Collins
2023-06-20,1986,Vape,31,47.06039722490903,Colorado Springs
2023-06-21,1546,Topicals,4,192.50802190145268,Colorado Springs
2023-06-22,1960,Edibles,18,37.104326779900795,Colorado Springs
2023-06-23,1738,Edibles,20,106.72554742762951,Boulder
2023-06-24,1612,Vape,47,167.64218003924216,Colorado Springs
2023-06-25,1942,Flower,43,76.46263735720008,Denver
2023-06-26,1461,Concentrates,44,90.71742130361109,Denver
2023-06-27,1642,Topicals,9,34.35517095682859,Colorado Springs
2023-06-28,1768,Edibles,13,33.35515719980482,Fort Collins
2023-06-29,1004,Flower,15,127.71796270794532,Colorado Springs
2023-06-30,1217,Vape,27,138.35115003781078,Denver
2023-07-01,1502,Edibles,15,157.6931776756167,Denver
2023-07-02,1766,Vape,28,115.76959000953318,Denver
2023-07-03,1397,Topicals,37,132.69426552964813,Fort Collins
2023-07-04,1870,Concentrates,19,12.568281622946811,Fort Collins
2023-07-05,1794,Edibles,26,40.81243815606573,Fort Collins
2023-07-06,1392,Edibles,26,197.13380554321188,Denver
2023-07-07,1206,Topicals,25,24.43876620000804,Boulder
2023-07-08,1014,Flower,26,138.96976222944653,Colorado Springs
2023-07-09,1857,Concentrates,26,43.455700276026086,Colorado Springs
2023-07-10,1553,Edibles,46,146.17653129585196,Denver
2023-07-11,1891,Concentrates,28,144.13817656277877,Fort Collins
2023-07-12,1460,Edibles,49,54.49782135973714,Boulder
2023-07-13,1690,Concentrates,18,61.230535851648796,Boulder
2023-07-14,1574,Vape,32,134.40643558439677,Fort Collins
2023-07-15,1863,Edibles,3,84.1163473682406,Colorado Springs
2023-07-16,1742,Concentrates,2,46.96411424298314,Colorado Springs
2023-07-17,1240,Flower,33,149.01912376962153,Boulder
2023-07-18,1563,Vape,42,39.28802962390349,Boulder
2023-07-19,1095,Vape,19,172.57229618753985,Fort Collins
2023-07-20,1899,Flower,17,107.78720956984724,Colorado Springs
2023-07-21,1733,Concentrates,44,30.08311473706713,Boulder
2023-07-22,1484,Topicals,33,141.87374337088704,Colorado Springs
2023-07-23,1406,Flower,12,108.64097751916269,Boulder
2023-07-24,1230,Concentrates,49,66.63093864101381,Fort Collins
2023-07-25,1748,Flower,3,90.28248224253242,Colorado Springs
2023-07-26,1654,Flower,43,66.68417128162477,Boulder
2023-07-27,1170,Edibles,49,59.97490879112897,Boulder
2023-07-28,1540,Concentrates,26,41.085599960305316,Boulder
2023-07-29,1035,Topicals,35,78.92575529612041,Boulder
